"company_name","primary_state","confidence","reason","provider","slug","source_url","tracked_in_sources_csv","source_status","bucket_last_run","role_count_active","jobs_listed","jobs_relevant","jobs_inserted","jobs_skipped_old","jobs_skipped_irrelevant","fetch_failed","registry_source_kind","recommended_next_action","source_files_used"
"Abridge","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","abridge","https://jobs.ashbyhq.com/abridge","true","auto","irrelevant_only","","59","0","0","21","38","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Aerovect","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","aerovect","https://jobs.ashbyhq.com/aerovect","true","auto","productive","","19","3","0","5","11","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Aetherflux","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","aetherflux","https://jobs.ashbyhq.com/aetherflux","true","auto","irrelevant_only","","26","0","0","7","19","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Aim","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","aim","https://jobs.ashbyhq.com/aim","true","auto","irrelevant_only","","17","0","0","0","17","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Airbound","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","airbound","https://jobs.ashbyhq.com/airbound","true","auto","productive","","2","2","0","0","0","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Airops","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","airops","https://jobs.ashbyhq.com/airops","true","auto","irrelevant_only","","28","0","0","14","14","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Alta Ares","source_fetch_failed","high","source_performance_fetch_failed_true; underlying_ats_supported_by_daily_sync","ashby","alta-ares","https://jobs.ashbyhq.com/alta-ares","true","auto","fetch_failed","","0","0","0","0","0","true","ats_api","investigate_slug","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Altura","source_returned_jobs_all_irrelevant","high","all_listed_jobs_marked_irrelevant_by_filter; underlying_ats_supported_by_daily_sync","ashby","altura","https://jobs.ashbyhq.com/altura","true","auto","irrelevant_only","","2","0","0","0","2","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Antares","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","Antares","https://jobs.ashbyhq.com/Antares","true","auto","irrelevant_only","","25","0","0","14","11","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Arxlight Ai","source_configured_supported_ats","medium","daily_sync_ats_with_no_exception_signal_in_report_rules","ashby","arxlight-ai","https://jobs.ashbyhq.com/arxlight-ai","true","auto","productive","","8","3","0","0","5","false","ats_api","none","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
"Atlan","needs_manual_review","medium","mixed_age_and_relevance_exclusion","ashby","atlan","https://jobs.ashbyhq.com/atlan","true","auto","irrelevant_only","","15","0","0","6","9","false","ats_api","review_filter_policy","sources.csv+source_performance.csv+data\ingestion\production_source_registry.csv"
